"";"cname";"cedition";"cproddat";"cseqno";"name";"essround";"edition";"idno";"dweight";"pspwght";"pweight";"anweight";"trstprl";"trstlgl";"trstplc";"trstplt";"trstprt";"trstep";"trstun";"lrscale";"stflife";"stfeco";"stfgov";"stfdem";"imsmetn";"imdfetn";"impcntr";"imbgeco";"imueclt";"imwbcnt";"happy";"rlgdgr";"gndr";"agea";"mean_imEnrich";"mean_imAllow";"mean_trst";"mean_stf";"sd_stf";"lrscale_scaled";"lrscale_dummy"
"1";"ESS1-9e01";"1.0";"10.12.2020";101403;"ESS9e03";9;"3";9;0,999466248037676;1,27500903606415;3,037344869;3,87264215361808;2;4;5;0;2;3;0;5;10;10;7;7;4;4;4;NA;8;5;10;9;2;26;6,5;4;2,28571428571429;8,5;1,73205080756888;0,321180500570075;0
"2";"ESS1-9e01";"1.0";"10.12.2020";101404;"ESS9e03";9;"3";10;0,999466248037677;0,854022920131683;3,037344869;2,59396213447037;7;8;8;6;6;4;5;5;8;8;5;9;4;4;4;10;5;5;8;7;2;65;6,66666666666667;4;6,28571428571429;7,5;1,73205080756888;0,321180500570075;0
"3";"ESS1-9e01";"1.0";"10.12.2020";101405;"ESS9e03";9;"3";64;0,999466248037676;0,759694933891296;3,037344869;2,30745550946002;3;5;6;3;5;5;6;3;8;5;6;6;4;4;4;9;8;8;10;9;2;74;8,33333333333333;4;4,71428571428571;6,25;1,25830573921179;-0,728225730338798;0
"4";"ESS1-9e01";"1.0";"10.12.2020";101406;"ESS9e03";9;"3";65;0,999466248037676;1,07941055297852;3,037344869;3,27854210463375;3;4;4;3;3;2;2;2;6;6;2;4;3;3;3;4;4;3;6;1;1;64;3,66666666666667;3;3;4,5;1,91485421551268;-1,25292884579323;0
"5";"ESS1-9e01";"1.0";"10.12.2020";101407;"ESS9e03";9;"3";91;0,999466248037676;1,26978766918182;3,037344869;3,85678306170888;4;5;7;5;5;4;5;1;9;9;5;5;4;NA;NA;8;8;8;9;5;2;54;8;4;5;7;2,3094010767585;-1,77763196124767;1
"6";"ESS1-9e01";"1.0";"10.12.2020";101408;"ESS9e03";9;"3";119;0,999466248037676;1,27500903606415;3,037344869;3,87264215361808;9;7;7;8;8;10;10;5;9;8;NA;10;3;3;4;8;8;7;9;9;2;20;7,66666666666667;3,33333333333333;8,42857142857143;9;1;0,321180500570075;0
"7";"ESS1-9e01";"1.0";"10.12.2020";101409;"ESS9e03";9;"3";150;0,999466248037677;0,942275881767273;3,037344869;2,86201681466828;10;10;10;10;4;10;10;5;10;10;5;10;3;3;2;10;10;6;9;5;2;71;8,66666666666667;2,66666666666667;9,14285714285714;8,75;2,5;0,321180500570075;0
"8";"ESS1-9e01";"1.0";"10.12.2020";101410;"ESS9e03";9;"3";212;0,999466248037676;1,4220027923584;3,037344869;4,31911288507345;5;7;7;5;5;6;6;2;8;8;7;7;4;4;4;8;8;8;8;0;1;41;8;4;5,85714285714286;7,5;0,577350269189626;-1,25292884579323;0
"9";"ESS1-9e01";"1.0";"10.12.2020";101411;"ESS9e03";9;"3";255;0,999466248037676;1,22612738609314;3,037344869;3,72417172489038;5;8;9;5;5;3;7;3;4;5;4;6;4;3;NA;7;7;7;5;3;1;62;7;3,5;6;4,75;0,957427107756338;-0,728225730338798;0
"10";"ESS1-9e01";"1.0";"10.12.2020";101412;"ESS9e03";9;"3";270;0,999466248037676;0,978313565254211;3,037344869;2,97147568769798;7;8;8;6;6;7;7;5;9;9;6;9;4;3;2;7;4;5;9;9;1;65;5,33333333333333;3;7;8,25;1,5;0,321180500570075;0
"11";"ESS1-9e01";"1.0";"10.12.2020";101413;"ESS9e03";9;"3";279;0,999466248037676;1,08778667449951;3,037344869;3,30398327435767;NA;5;7;3;1;3;NA;1;10;7;NA;NA;2;2;2;0;0;0;10;5;2;67;0;2;3,8;8,5;2,12132034355964;-1,77763196124767;1
"12";"ESS1-9e01";"1.0";"10.12.2020";101414;"ESS9e03";9;"3";304;0,999466248037676;0,984116077423096;3,037344869;2,98909991826145;6;9;9;5;5;5;7;4;9;9;6;5;3;3;2;9;9;5;9;0;2;47;7,66666666666667;2,66666666666667;6,57142857142857;7,25;2,06155281280883;-0,203522614884361;0
"13";"ESS1-9e01";"1.0";"10.12.2020";101415;"ESS9e03";9;"3";311;0,999466248037677;0,534868776798248;3,037344869;1,62458093479647;6;7;7;6;3;5;5;5;9;9;8;9;4;3;3;10;10;5;8;10;1;67;8,33333333333333;3,33333333333333;5,57142857142857;8,75;0,5;0,321180500570075;0
"14";"ESS1-9e01";"1.0";"10.12.2020";101416;"ESS9e03";9;"3";318;0,999466248037676;0,893721342086792;3,037344869;2,71453993270311;8;9;8;7;7;7;7;6;8;10;7;9;3;3;3;5;5;5;8;3;1;48;5;3;7,57142857142857;8,5;1,29099444873581;0,845883616024512;0
"15";"ESS1-9e01";"1.0";"10.12.2020";101417;"ESS9e03";9;"3";372;0,999466248037677;0,978313565254211;3,037344869;2,97147568769798;9;10;10;8;9;8;8;4;10;9;8;10;3;3;3;7;8;5;10;10;1;69;6,66666666666667;3;8,85714285714286;9,25;0,957427107756338;-0,203522614884361;0
"16";"ESS1-9e01";"1.0";"10.12.2020";101418;"ESS9e03";9;"3";385;0,999466248037676;0,54469758272171;3,037344869;1,65443440803649;6;8;7;6;4;6;6;3;9;8;5;8;4;NA;3;9;7;7;9;0;2;60;7,66666666666667;3,5;6,14285714285714;7,5;1,73205080756888;-0,728225730338798;0
"17";"ESS1-9e01";"1.0";"10.12.2020";101419;"ESS9e03";9;"3";451;0,999466248037677;0,675607144832611;3,037344869;2,05205189481707;8;9;9;4;3;4;5;0;7;9;3;6;4;NA;NA;5;8;4;9;2;2;64;5,66666666666667;4;6;6,25;2,5;-2,30233507670211;1
"18";"ESS1-9e01";"1.0";"10.12.2020";101420;"ESS9e03";9;"3";458;0,999466248037676;2,61259627342224;3,037344869;7,93535588584757;8;10;10;8;8;10;10;5;0;10;10;5;3;3;1;0;0;0;0;10;2;44;0;2,33333333333333;9,14285714285714;6,25;4,78713553878169;0,321180500570075;0
"19";"ESS1-9e01";"1.0";"10.12.2020";101421;"ESS9e03";9;"3";476;0,999466248037676;0,77601683139801;3,037344869;2,35703074110438;5;5;5;5;5;5;5;5;8;10;5;5;4;3;2;8;7;7;8;5;1;51;7,33333333333333;3;5;7;2,44948974278318;0,321180500570075;0
"20";"ESS1-9e01";"1.0";"10.12.2020";101422;"ESS9e03";9;"3";506;0,999466248037677;0,898361384868622;3,037344869;2,72863334283844;5;5;8;0;0;5;5;5;10;5;5;4;4;3;3;6;6;6;10;4;2;74;6;3,33333333333333;4;6;2,70801280154532;0,321180500570075;0
"21";"ESS1-9e01";"1.0";"10.12.2020";101423;"ESS9e03";9;"3";515;0,999466248037677;0,54469758272171;3,037344869;1,65443440803649;8;7;8;6;6;7;7;5;8;4;4;6;3;2;2;8;8;6;8;5;2;66;7,33333333333333;2,33333333333333;7;5,5;1,91485421551268;0,321180500570075;0
"22";"ESS1-9e01";"1.0";"10.12.2020";101424;"ESS9e03";9;"3";533;0,999466248037677;1,11907911300659;3,037344869;3,39902920189564;0;2;7;0;2;0;3;6;6;6;1;2;3;3;2;4;3;3;7;5;1;44;3,33333333333333;2,66666666666667;2;3,75;2,62995563967658;0,845883616024512;0
"23";"ESS1-9e01";"1.0";"10.12.2020";101425;"ESS9e03";9;"3";564;0,999466248037676;1,10232019424438;3,037344869;3,34812658598327;2;2;8;NA;2;3;4;5;9;9;5;3;3;3;2;6;10;5;8;8;2;76;7;2,66666666666667;3,5;6,5;3;0,321180500570075;0
"24";"ESS1-9e01";"1.0";"10.12.2020";101426;"ESS9e03";9;"3";570;0,999466248037676;1,24236023426056;3,037344869;3,77347648298095;5;2;2;4;4;5;5;5;4;4;4;4;2;2;3;4;3;2;4;6;2;26;3;2,33333333333333;3,85714285714286;4;0;0,321180500570075;0
"25";"ESS1-9e01";"1.0";"10.12.2020";101427;"ESS9e03";9;"3";589;0,999466248037676;1,24609839916229;3,037344869;3,7848305789647;5;3;6;2;2;3;NA;8;5;6;2;4;3;1;2;8;4;4;7;8;1;79;5,33333333333333;2;3,5;4,25;1,70782512765993;1,89528984693338;2
"26";"ESS1-9e01";"1.0";"10.12.2020";101428;"ESS9e03";9;"3";621;0,999466248037677;0,674663066864014;3,037344869;2,04918440444322;4;3;7;5;3;4;1;6;8;7;5;6;4;4;3;8;6;5;8;0;1;26;6,33333333333333;3,66666666666667;3,85714285714286;6,5;1,29099444873581;0,845883616024512;0
"27";"ESS1-9e01";"1.0";"10.12.2020";101429;"ESS9e03";9;"3";636;0,999466248037676;0,603032052516937;3,037344869;1,83161631055486;5;6;6;NA;2;3;5;4;8;7;2;7;4;3;3;4;6;NA;7;0;2;68;5;3,33333333333333;4,5;6;2,70801280154532;-0,203522614884361;0
"28";"ESS1-9e01";"1.0";"10.12.2020";101430;"ESS9e03";9;"3";641;0,999466248037676;0,780835628509521;3,037344869;2,37166708978578;7;8;7;6;6;7;8;5;7;7;7;7;4;4;4;7;6;6;7;6;2;31;6,33333333333333;4;7;7;0;0,321180500570075;0
"29";"ESS1-9e01";"1.0";"10.12.2020";101431;"ESS9e03";9;"3";648;0,999466248037677;0,779937565326691;3,037344869;2,36893936218538;5;5;6;4;4;4;5;NA;7;5;2;6;3;3;NA;NA;7;5;8;5;2;55;6;3;4,71428571428571;5;2,16024689946929;NA;NA
"30";"ESS1-9e01";"1.0";"10.12.2020";101432;"ESS9e03";9;"3";662;0,999466248037676;0,830761790275574;3,037344869;2,52331006105477;6;3;7;7;6;6;8;2;9;7;3;2;4;3;3;8;7;5;9;0;2;53;6,66666666666667;3,33333333333333;6,14285714285714;5,25;3,30403793359983;-1,25292884579323;0
"31";"ESS1-9e01";"1.0";"10.12.2020";101433;"ESS9e03";9;"3";704;0,999466248037676;0,870257616043091;3,037344869;2,64327250479665;8;10;9;1;2;0;0;7;4;3;0;8;4;4;4;10;10;6;9;0;1;64;8,66666666666667;4;4,28571428571429;3,75;3,30403793359983;1,37058673147895;0
"32";"ESS1-9e01";"1.0";"10.12.2020";101434;"ESS9e03";9;"3";718;0,999466248037677;0,615720212459564;3,037344869;1,87015462805365;9;8;7;7;6;6;6;6;8;7;7;8;4;3;2;6;6;2;8;7;1;76;4,66666666666667;3;7;7,5;0,577350269189626;0,845883616024512;0
"33";"ESS1-9e01";"1.0";"10.12.2020";101435;"ESS9e03";9;"3";749;0,999466248037676;0,534868776798248;3,037344869;1,62458093479647;8;5;9;5;2;6;6;3;8;7;3;7;4;3;3;10;5;6;7;2;1;68;7;3,33333333333333;5,85714285714286;6,25;2,21735578260835;-0,728225730338798;0
"34";"ESS1-9e01";"1.0";"10.12.2020";101436;"ESS9e03";9;"3";780;0,999466248037676;1,10208630561829;3,037344869;3,34741618556487;7;7;5;7;5;8;3;5;5;7;7;7;3;3;3;10;10;5;7;7;1;41;8,33333333333333;3;6;6,5;1;0,321180500570075;0
"35";"ESS1-9e01";"1.0";"10.12.2020";101437;"ESS9e03";9;"3";803;0,999466248037676;1,07035303115845;3,037344869;3,25103128720771;5;1;8;3;0;6;8;0;10;7;3;1;3;3;2;5;5;6;10;0;2;86;5,33333333333333;2,66666666666667;4,42857142857143;5,25;4,03112887414927;-2,30233507670211;1
"36";"ESS1-9e01";"1.0";"10.12.2020";101438;"ESS9e03";9;"3";810;0,999466248037677;0,789253711700439;3,037344869;2,39723571157253;6;8;4;3;6;7;5;4;7;8;5;7;4;3;3;8;8;7;7;4;1;22;7,66666666666667;3,33333333333333;5,57142857142857;6,75;1,25830573921179;-0,203522614884361;0
"37";"ESS1-9e01";"1.0";"10.12.2020";101439;"ESS9e03";9;"3";866;0,999466248037677;1,44443881511688;3,037344869;4,3872588236797;2;2;8;2;2;0;0;5;8;2;1;2;2;2;3;1;6;2;8;8;1;49;3;2,33333333333333;2,28571428571429;3,25;3,20156211871642;0,321180500570075;0
"38";"ESS1-9e01";"1.0";"10.12.2020";101440;"ESS9e03";9;"3";943;0,999466248037677;0,841054499149323;3,037344869;2,55457256754056;5;3;8;3;3;4;5;2;7;5;3;4;3;3;3;5;3;6;9;0;2;66;4,66666666666667;3;4,42857142857143;4,75;1,70782512765993;-1,25292884579323;0
"39";"ESS1-9e01";"1.0";"10.12.2020";101441;"ESS9e03";9;"3";954;0,999466248037676;1,10255467891693;3,037344869;3,34883879680028;6;7;8;6;6;5;7;4;9;8;3;7;4;3;3;8;9;7;9;7;2;52;8;3,33333333333333;6,42857142857143;6,75;2,62995563967658;-0,203522614884361;0
"40";"ESS1-9e01";"1.0";"10.12.2020";101442;"ESS9e03";9;"3";1081;0,999466248037676;1,49156725406647;3,037344869;4,5304041459072;5;7;8;3;3;6;5;4;8;6;5;7;4;4;4;6;10;6;8;8;2;22;7,33333333333333;4;5,28571428571429;6,5;1,29099444873581;-0,203522614884361;0
"41";"ESS1-9e01";"1.0";"10.12.2020";101443;"ESS9e03";9;"3";1101;0,999466248037677;1,10232019424438;3,037344869;3,34812658598327;5;8;8;3;2;5;6;6;8;8;2;8;3;3;3;7;8;8;6;4;2;73;7,66666666666667;3;5,28571428571429;6,5;3;0,845883616024512;0
"42";"ESS1-9e01";"1.0";"10.12.2020";101444;"ESS9e03";9;"3";1222;0,999466248037676;0,854022920131683;3,037344869;2,59396213447037;7;9;9;4;4;4;9;5;8;8;3;8;3;3;3;5;5;5;7;8;2;69;5;3;6,57142857142857;6,75;2,5;0,321180500570075;0
"43";"ESS1-9e01";"1.0";"10.12.2020";101445;"ESS9e03";9;"3";1255;0,999466248037676;0,662855684757233;3,037344869;2,01332131298486;7;9;8;5;5;7;5;3;7;8;4;8;4;4;3;8;9;9;8;4;2;49;8,66666666666667;3,66666666666667;6,57142857142857;6,75;1,89296944860009;-0,728225730338798;0
"44";"ESS1-9e01";"1.0";"10.12.2020";101446;"ESS9e03";9;"3";1273;0,999466248037676;1,07941055297852;3,037344869;3,27854210463375;10;5;7;5;5;3;8;5;9;8;6;6;4;2;1;6;7;7;10;6;1;78;6,66666666666667;2,33333333333333;6,14285714285714;7,25;1,5;0,321180500570075;0
"45";"ESS1-9e01";"1.0";"10.12.2020";101447;"ESS9e03";9;"3";1281;0,999466248037677;0,674663066864014;3,037344869;2,04918440444322;8;9;9;6;6;6;5;8;9;9;6;8;2;2;2;2;2;3;9;0;1;30;2,33333333333333;2;7;8;1,4142135623731;1,89528984693338;2
"46";"ESS1-9e01";"1.0";"10.12.2020";101448;"ESS9e03";9;"3";1303;0,999466248037676;1,08955526351929;3,037344869;3,30935508914225;3;6;6;4;4;5;3;5;8;6;4;2;3;3;3;7;4;4;8;2;1;23;5;3;4,42857142857143;5;2,58198889747161;0,321180500570075;0
"47";"ESS1-9e01";"1.0";"10.12.2020";101449;"ESS9e03";9;"3";1324;0,999466248037677;0,978313565254211;3,037344869;2,97147568769798;6;8;9;4;4;5;5;8;8;8;6;7;3;3;3;7;5;7;7;6;1;68;6,33333333333333;3;5,85714285714286;7,25;0,957427107756338;1,89528984693338;2
"48";"ESS1-9e01";"1.0";"10.12.2020";101450;"ESS9e03";9;"3";1360;0,999466248037677;1,07941055297852;3,037344869;3,27854210463375;2;8;10;0;3;2;2;5;9;0;4;2;3;3;4;1;4;6;10;4;1;55;3,66666666666667;3,33333333333333;3,85714285714286;3,75;3,86221007541882;0,321180500570075;0
"49";"ESS1-9e01";"1.0";"10.12.2020";101451;"ESS9e03";9;"3";1367;0,999466248037676;0,675607144832611;3,037344869;2,05205189481707;7;8;3;7;6;7;9;9;9;5;9;8;4;4;3;6;7;6;9;8;2;81;6,33333333333333;3,66666666666667;6,71428571428571;7,75;1,89296944860009;2,41999296238782;2
"50";"ESS1-9e01";"1.0";"10.12.2020";101452;"ESS9e03";9;"3";1371;0,999466248037676;0,870257616043091;3,037344869;2,64327250479665;2;7;5;4;5;NA;NA;NA;10;NA;NA;3;3;4;2;8;6;5;10;6;1;86;6,33333333333333;3;4,6;6,5;4,94974746830583;NA;NA
"51";"ESS1-9e01";"1.0";"10.12.2020";101453;"ESS9e03";9;"3";1378;0,999466248037676;0,870257616043091;3,037344869;2,64327250479665;2;2;4;1;2;6;6;8;8;7;5;6;3;2;2;4;3;3;7;0;1;74;3,33333333333333;2,33333333333333;3,28571428571429;6,5;1,29099444873581;1,89528984693338;2
"52";"ESS1-9e01";"1.0";"10.12.2020";101454;"ESS9e03";9;"3";1408;0,999466248037677;1,14375615119934;3,037344869;3,47398187723251;4;4;8;6;5;7;6;5;6;7;7;6;4;3;3;7;7;8;3;7;1;82;7,33333333333333;3,33333333333333;5,71428571428571;6,5;0,577350269189626;0,321180500570075;0
"53";"ESS1-9e01";"1.0";"10.12.2020";101455;"ESS9e03";9;"3";1437;0,999466248037676;0,707702994346619;3,037344869;2,14953805865464;7;7;6;4;5;7;3;1;9;6;6;6;4;4;4;6;7;8;9;2;2;27;7;4;5,57142857142857;6,75;1,5;-1,77763196124767;1
"54";"ESS1-9e01";"1.0";"10.12.2020";101456;"ESS9e03";9;"3";1441;0,999466248037677;1,27101123332977;3,037344869;3,86049944799555;8;7;10;6;7;8;9;5;8;9;8;8;3;3;4;9;6;5;8;10;1;20;6,66666666666667;3,33333333333333;7,85714285714286;8,25;0,5;0,321180500570075;0
"55";"ESS1-9e01";"1.0";"10.12.2020";101457;"ESS9e03";9;"3";1467;0,999466248037676;0,77601683139801;3,037344869;2,35703074110438;9;8;8;6;7;7;8;4;8;7;5;8;4;3;3;8;7;8;9;7;1;39;7,66666666666667;3,33333333333333;7,57142857142857;7;1,4142135623731;-0,203522614884361;0
"56";"ESS1-9e01";"1.0";"10.12.2020";101458;"ESS9e03";9;"3";1486;0,999466248037676;1,27500903606415;3,037344869;3,87264215361808;3;6;7;2;2;3;3;6;8;8;2;4;3;3;3;8;6;4;8;6;2;21;6;3;3,71428571428571;5,5;3;0,845883616024512;0
"57";"ESS1-9e01";"1.0";"10.12.2020";101459;"ESS9e03";9;"3";1493;0,999466248037676;3,73727536201477;3,037344869;11,3513941448557;3;4;5;2;2;3;4;7;7;6;4;3;2;2;1;7;6;4;7;6;1;70;5,66666666666667;1,66666666666667;3,28571428571429;5;1,82574185835055;1,37058673147895;0
